页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4829962429267982,都市报道,2022-10-29 17:37:21,西华师大你就是我的神#西华师范大学##疫情##南充疫情#南充·西华师范大学,0,0,0
1,4829962353253013,抱抱抱米发,2022-10-29 17:37:04,#郑州疫情# ,0,0,0
1,4829962350104553,没有过去-亦无未来,2022-10-29 17:37:03,#疫情#啥时候能结束！！！祝你平安，也祝我又肥了一圈明天起我自由了,0,0,0
2,4829962429267982,都市报道,2022-10-29 17:37:21,#蓝v视界#【“空投”送物资解决燃眉急】10月21日，郑州疫情期间，郑东新区博学路办事处后贾东街社区为给小区居民们提供正常的生活保障，联合相关物业工作人员采购了七千斤大白菜和一千三百份的蔬菜包，为居民们发放生活物资。社区和物业的行动，小区居民们都看在眼里记在心里，而这些生活物资，温暖的不仅仅是居民们的胃，更是居民们的心。都市报道的微博视频,0,0,0
2,4829962387325833,wangpingting,2022-10-29 17:37:11,今天下午的时候社区工作人员和小区楼下卖菜、买菜的人吵起来了隔着窗户听好像是因为疫情原因不让买菜的聚集也不让卖菜的出门进货流动了正是中午吃饭需要买菜的时候要把菜摊关了然后我去阳台打开窗户准备认真听一下的时候一抬头发现对面那栋楼每一层每一个窗户口都有一个趴在那看热闹的人头哈哈那个场面真的太搞笑了看来大家被封的都可无聊啊,0,0,0
2,4829962353253013,抱抱抱米发,2022-10-29 17:37:04,#郑州疫情#,0,0,0
2,4829962350104553,没有过去-亦无未来,2022-10-29 17:37:03,#郑州疫情#,0,0,0
2,4829962336999186,呼和浩特晚报,2022-10-29 17:37:00,【我市现有确诊病例260例、无症状感染者1952例】发布会上了解到，2022年10月28日0时—24时，我市新增新冠肺炎确诊病例5例、无症状感染者62例，确诊病例治愈出院8例，解除医学观察无症状感染者53例。截至10月28日24时，我市现有确诊病例260例、无症状感染者1952例。#众志成城坚决打赢疫情防控阻击战##内蒙古抗疫#,0,0,0
2,4829957185863685,Lsvy1222,2022-10-29 17:16:31,#郑州疫情#郑州几万人确诊是真的吗,1,8,12
2,4829962316286394,麦田蜘蛛灬,2022-10-29 17:36:55,#大同疫情#封到今天，我的心态已经从好耶不用上班不用考试了的状态演变到现成现在的快点解封，在家呆着好无聊也好不方便啊。。。我真的万万没想到我家最先缺的不是菜，是洗碟精 ,0,0,0
2,4829962312355993,广东台触电新闻,2022-10-29 17:36:54,【我市现有确诊病例260例、无症状感染者1952例】发布会上了解到，2022年10月28日0时—24时，我市新增新冠肺炎确诊病例5例、无症状感染者62例，确诊病例治愈出院8例，解除医学观察无症状感染者53例。截至10月28日24时，我市现有确诊病例260例、无症状感染者1952例。#众志成城坚决打赢疫情防控阻击战##内蒙古抗疫#,0,0,0
2,4829962287449935,任城融媒,2022-10-29 17:36:48,疫情防控专家谈｜办公场所防疫要点 任城融媒的微博视频 ,0,0,0
2,4829962266480930,YuingYang_,2022-10-29 17:36:43,疫情输出技能之还活着 ,0,0,0
3,4829962152446033,煮了袋速食面,2022-10-29 17:36:16,#合肥疫情# 我想吃火锅 烤肉 等一系列垃圾食品 ,0,0,0
3,4829962119416410,勤快的小牧川,2022-10-29 17:36:08,【疫情防控有感】中心街区变冷清，宽阔路面少人行。居家躲避防黄码，核酸检测查行踪。手机短信警示鸣，提醒注意显真情。但愿疫情早日去，努力过后天更明。广州·广州铂金酒店公寓,0,0,0
3,4829962101853772,xsj-nice,2022-10-29 17:36:04,啥时侯才能解封……啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊#郑州疫情#郑州,0,0,2
3,4829962085862846,Hero-猫-,2022-10-29 17:36:00,#郑州疫情#  啥时候是个头啥时候能自由 ,0,0,0
3,4829962084813609,sher16951,2022-10-29 17:36:00,#邵阳疫情# 已经严重到建好几个方舱还需要征用学校当隔离点的地步了😭 ,0,1,0
3,4829962080617935,猫的树不是我的你,2022-10-29 17:35:59,一叶红知天下秋#洛阳身边事##洛阳疫情##洛阳城事##洛阳##16小时爱上洛阳# 洛阳·万安山山顶公园 ,0,1,0
3,4829959199654505,广州交通电台,2022-10-29 17:24:32,【疫情防控有感】中心街区变冷清，宽阔路面少人行。居家躲避防黄码，核酸检测查行踪。手机短信警示鸣，提醒注意显真情。但愿疫情早日去，努力过后天更明。广州·广州铂金酒店公寓,1,10,11
3,4829962035531530,小锅不是郭,2022-10-29 17:35:48,闽南菜真的很好吃诶这家店还放着闽南语歌好像在福建吃饭一样 哈哈哈疫情之后终于喝上CHARLIETOWN了 ,0,0,0
3,4829962014559491,keloids,2022-10-29 17:35:43,生命价更高 到低是谁的命价高啊#郑州疫情# ,0,0,0
4,4829962035531530,小锅不是郭,2022-10-29 17:35:48,闽南菜真的很好吃诶这家店还放着闽南语歌好像在福建吃饭一样 哈哈哈疫情之后终于喝上CHARLIETOWN了 ,0,0,0
4,4829962014559491,keloids,2022-10-29 17:35:43,生命价更高到低是谁的命价高啊#郑州疫情#,0,0,0
4,4829962014034932,福州生态环境,2022-10-29 17:35:43,#环保战疫##福州疫情#10月28日，福州市生态环境局党组书记、局长林从宇通过视频调度肺科医院、晋安医院、仓山全季酒店、扣扣时尚酒店的涉疫废水和涉疫垃圾的处理情况，要求加强管理，确保废水余氯达标、医废收集转移规范，同时做好个人防护。,0,0,0
4,4829962000929967,刚仔MrMr,2022-10-29 17:35:40,野竹生长、便是奇迹。小朋友谈梦想、成年人谈生存、但是生存也得出去才能生存啊！#兰州疫情# ,0,0,1
4,4829957596907543,楊培安RogerYang,2022-10-29 17:18:10,#拉萨疫情防控##新疆乌鲁木齐疫情##西宁疫情防控# 「我們堅持人民至上！生命至上！」✊ 台湾·台北 ,0,5,15
4,4829961875100461,Rachel616,2022-10-29 17:35:10,今天请了驻唱歌手，在唱你最珍贵，售楼部因为疫情都没人了我坐在台下，要哭了，呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜市场你不要这样对我 ,0,0,0
4,4829961875097218,·沐叶·,2022-10-29 17:35:10,第18天，今天吃了方便面+手抓饼，手抓饼糊了，小区查出来4🐏，在不同楼很不幸我这楼也有。不知道昨天我买的速冻食品和蔬菜还能收到吗郑州疫情#郑州疫情# ,0,1,0
4,4829961842330184,默陌Jay,2022-10-29 17:35:02,#哈尔滨疫情#月末月初疫情，月中恢复，让我想到了生理期和安全期的存在，也真准 ,0,5,1
4,4829955710255352,福州头条,2022-10-29 17:10:40,生命价更高到低是谁的命价高啊#郑州疫情#,3,8,12
4,4829961830007661,苹果果子25,2022-10-29 17:34:59,#合肥疫情# 孩子们啥时候开学 呀 ,0,0,0
5,4829962014034932,福州生态环境,2022-10-29 17:35:43,#环保战疫##福州疫情# 10月28日，福州市生态环境局党组书记、局长林从宇通过视频调度肺科医院、晋安医院、仓山全季酒店、扣扣时尚酒店的涉疫废水和涉疫垃圾的处理情况，要求加强管理，确保废水余氯达标、医废收集转移规范，同时做好个人防护。 ,0,0,0
5,4829962000929967,刚仔MrMr,2022-10-29 17:35:40,野竹生长、便是奇迹。小朋友谈梦想、成年人谈生存、但是生存也得出去才能生存啊！#兰州疫情#,0,0,1
5,4829953901723674,广州日报,2022-10-29 17:03:28,【直播：广州市疫情防控新闻发布会】10月29日，广州市人民政府新闻办公室召开广州市疫情防控新闻发布会，邀请市卫生健康委、天河区、白云区、市疾控中心的相关负责同志通报广州市新冠肺炎疫情防控相关情况。（广州日报·新花城记者：方晴、张青梅、王燕）  广州日报的微博直播 ,2,1,29
5,4829957596907543,楊培安RogerYang,2022-10-29 17:18:10,#拉萨疫情防控##新疆乌鲁木齐疫情##西宁疫情防控# 「我們堅持人民至上！生命至上！」✊ 台湾·台北 ,0,5,15
5,4829961955839198,好幸运的娘口三三啊,2022-10-29 17:35:29,封控第四天百合和六出还开着超级无敌健康的炒菜因为疫情，我过上了近几年最健康的生活 ,0,0,0
5,4829961942996322,员通YunTong,2022-10-29 17:35:26,#运城##疫情##防控##解封不等于解防#  再挂两天ing当下，有木有朋友想来个陌生闲聊的？？？151 1623 1241（微信同步）   运城 ,0,1,0
5,4829961942730848,善思博学,2022-10-29 17:35:26,大长葛#郑州##新冠肺炎##郑州疫情# ,0,0,6
5,4829961883486549,孩子最近有点犯傻,2022-10-29 17:35:12,#研究发现越上网越不爱生孩子#这有什么因果关系啊上网和孩子之间可能会有一点点相关性，可能看到的关注的负面消息多了，所以会有顾虑罢了但是，也只是有一丢丢的关联而已啊，又构不成完全的因果关系天天研究这，不如研究一下怎么让疫情结束啊 ,0,1,2
5,4829961875097218,·沐叶·,2022-10-29 17:35:10,第18天，今天吃了方便面+手抓饼，手抓饼糊了，小区查出来4🐏，在不同楼很不幸我这楼也有。不知道昨天我买的速冻食品和蔬菜还能收到吗郑州疫情#郑州疫情# ,0,1,0
5,4829961855438262,兔滚儿,2022-10-29 17:35:05,#武汉疫情#速度，席位不多了 武汉 ,0,0,0
6,4829961549250791,小杏星子,2022-10-29 17:33:51,这两周很累很忙，忙着抗疫🦠忙着当志愿者完美结束东兴街道四轮全员核酸！！我们终将战胜疫情！🙏揭阳加油！   揭阳·淡浦社区党群服务中心 ,0,0,0
6,4829957706751919,南京摩天汉,2022-10-29 17:18:36,不至钟山，怎能感受金陵秋日之美？#南京疫情##enjoynanjing#南京·钟山风景名胜区明孝陵景区,3,3,25
6,4829961528284814,川崎BGM2号,2022-10-29 17:33:47,南京太难了疫情在吃紧阶段，金盛百货今天烧了一天，朋友圈有个认识的店主站在马路对面，活生生看见自家仓库被烧光了……好难，好难，大家太难了 ,0,2,4
6,4829961497609375,Fool妹阿,2022-10-29 17:33:39,只能说这几天长不肥饿不死…万物皆可做！#疫情##生活碎片##随手拍# 加油！郑州！我们还能挺住！   郑州 ,0,1,1
6,4829961485553719,i-你笑起来真好看,2022-10-29 17:33:37,#郑州疫情#第16天 ,0,0,0
6,4829961476638243,Yssqqi_,2022-10-29 17:33:35,我草了这个疫情 ,0,0,0
6,4829961468511126,是彭彭诶,2022-10-29 17:33:33,#鄢陵疫情##河南疫情##河南疫情防控# 致“亲爱的”大河南就这几个新增，你们慌什么大家都很好，河南下面的不管哪个城镇，疫情都不严重，继续维持“感恩”有你们呢 ,0,0,0
6,4829961423165401,xoxweoo,2022-10-29 17:33:22,每天一问：我真的需要这份工作吗/疫情啥时候是个头刚开始上班的时候还会用气垫打个底现在：这个世界已经没有我在意的人了 ,0,0,0
6,4829961419227217,贝TT拉,2022-10-29 17:33:20,昨天幼儿园跳绳进第6名，很开心，所有的收获都是努力付出换来的，一个月跳绳比赛争取保持今天幼小衔接看图说话主动举手发言，被老师给予3🌟，每次被表扬都特别开心，距离小区解封还有4天，愿疫情早点过去 南京 ,0,0,0
6,4829961406645995,祸决,2022-10-29 17:33:18,不至钟山，怎能感受金陵秋日之美？#南京疫情##enjoynanjing#南京·钟山风景名胜区明孝陵景区,0,1,0
7,4829961392755581,哲世宇界,2022-10-29 17:33:15,#南京疫情# 不理解了，为啥区域封控要把公共核酸点给停了？让不住小区的人咋办？@南京发布 ,0,2,0
7,4829958788877959,萧逸的小苏ovo,2022-10-29 17:22:54,#广州疫情#日增139但复课牛的,0,2,14
7,4829948176762260,苏格拉底9893,2022-10-29 16:40:44,#网曝郑州富士康疫情现状#梦回河南1942苏格拉底9893的微博视频,3,4,99
7,4829961339276562,福州广播电视台交通之声,2022-10-29 17:33:02,【福州：本轮累计报告“5+410”！】截至28日24点，本轮疫情福州市累计报告无症状感染者410例，确诊病例5例，当日新增82例，全市划定高风险区2个，中风险区48个。刚刚，福州召开新闻发布会，通报疫情防控最新情况#疫情防控# via福州日报 ,0,0,0
7,4829948559494721,五好青年张皓皓,2022-10-29 16:42:15,#广州疫情#日增139但复课牛的,0,9,12
7,4829961304673524,棒棒的种花兔,2022-10-29 17:32:54,#西安疫情#明天是不是要全市全员核酸鸭？求告知 ,0,1,0
7,4829961301788764,自由幻想家yu,2022-10-29 17:32:53,#河南疫情#tnnd 现在到底是什么情况 啥都不知道了属于是只知道家里不让出大门好多天了 ,0,0,0
7,4829961293142330,懒惰揪咪兔,2022-10-29 17:32:51,#白云区疫情#笑死人，我和朋友住二路，他一直在二路就还是绿码，而我只是去隔壁三路剃了个头发，回来就黄码了，不懂就问，意义在哪里 ,0,1,0
7,4829961280559980,小怡姐姐ovo,2022-10-29 17:32:48,什莫时候回家呀，行李收拾好啦@内蒙古财经大学 #呼和浩特疫情# ,0,0,0
7,4829961263776024,河南新闻广播,2022-10-29 17:32:43,【疫情之下，如何保证线上教学质量？】受本轮疫情影响，郑州市各中小学开展线上教学已经两周多的时间。为保证线上教学质量，学校都采取了哪些措施？家长们又该如何做好配合呢？来看看郑州市第七初级中学教育发展中心主任魏丽丽的介绍。（大象新闻·河南新闻广播记者 成书丽） 河南新闻广播的微博视频 ,0,0,0
8,4829961392755581,哲世宇界,2022-10-29 17:33:15,#南京疫情# 不理解了，为啥区域封控要把公共核酸点给停了？让不住小区的人咋办？@南京发布 ,0,2,0
8,4829958788877959,萧逸的小苏ovo,2022-10-29 17:22:54,#广州疫情#日增139但复课牛的,0,2,14
8,4829948176762260,苏格拉底9893,2022-10-29 16:40:44,#网曝郑州富士康疫情现状#梦回河南1942苏格拉底9893的微博视频,3,4,99
8,4829961339276562,福州广播电视台交通之声,2022-10-29 17:33:02,【福州：本轮累计报告“5+410”！】截至28日24点，本轮疫情福州市累计报告无症状感染者410例，确诊病例5例，当日新增82例，全市划定高风险区2个，中风险区48个。刚刚，福州召开新闻发布会，通报疫情防控最新情况#疫情防控#via福州日报,0,0,0
8,4829948559494721,五好青年张皓皓,2022-10-29 16:42:15,#广州疫情#日增139但复课牛的,0,9,12
8,4829961304673524,棒棒的种花兔,2022-10-29 17:32:54,#西安疫情#明天是不是要全市全员核酸鸭？求告知 ,0,2,0
8,4829961301788764,自由幻想家yu,2022-10-29 17:32:53,#河南疫情#tnnd 现在到底是什么情况 啥都不知道了属于是只知道家里不让出大门好多天了 ,0,0,0
8,4829961293142330,懒惰揪咪兔,2022-10-29 17:32:51,#白云区疫情#笑死人，我和朋友住二路，他一直在二路就还是绿码，而我只是去隔壁三路剃了个头发，回来就黄码了，不懂就问，意义在哪里 ,0,1,0
8,4829961288422791,小小顶梁柱-,2022-10-29 17:32:50,#网曝郑州富士康疫情现状#梦回河南1942苏格拉底9893的微博视频,0,0,0
8,4829961280559980,小怡姐姐ovo,2022-10-29 17:32:48,什莫时候回家呀，行李收拾好啦@内蒙古财经大学 #呼和浩特疫情# ,0,0,0
9,4829961423165401,xoxweoo,2022-10-29 17:33:22,每天一问：我真的需要这份工作吗/疫情啥时候是个头刚开始上班的时候还会用气垫打个底现在：这个世界已经没有我在意的人了,0,0,0
9,4829961419227217,贝TT拉,2022-10-29 17:33:20,昨天幼儿园跳绳进第6名，很开心，所有的收获都是努力付出换来的，一个月跳绳比赛争取保持今天幼小衔接看图说话主动举手发言，被老师给予3🌟，每次被表扬都特别开心，距离小区解封还有4天，愿疫情早点过去南京,0,0,0
9,4829961406645995,祸决,2022-10-29 17:33:18,和我几个游戏搭子认识的很偶然我跟精神小伙（苑某）和浊酒哥是同时认识的当时疫情期间在家发了个匹配召集当时一起玩的另外两个人是谁我都不记得了然后他们两个进来了就这么认识了后面又认识了小伙的同学小潘哥认识他们的时候他们才初中生现在上高一了不能经常一起玩了一放假回来还是会找我啊哈哈哈哈哈我也算是贯穿他们青春的游戏搭子了~o(〃'▽'〃)o,0,1,0
9,4829961392755581,哲世宇界,2022-10-29 17:33:15,#南京疫情# 不理解了，为啥区域封控要把公共核酸点给停了？让不住小区的人咋办？@南京发布 ,0,2,0
9,4829958788877959,萧逸的小苏ovo,2022-10-29 17:22:54,#广州疫情#日增139 但复课 牛的 ,0,2,14
9,4829948176762260,苏格拉底9893,2022-10-29 16:40:44,#网曝郑州富士康疫情现状#梦回河南1942 苏格拉底9893的微博视频 ,3,4,99
9,4829961339276562,福州广播电视台交通之声,2022-10-29 17:33:02,【福州：本轮累计报告“5+410”！】截至28日24点，本轮疫情福州市累计报告无症状感染者410例，确诊病例5例，当日新增82例，全市划定高风险区2个，中风险区48个。刚刚，福州召开新闻发布会，通报疫情防控最新情况#疫情防控# via福州日报 ,0,0,0
9,4829948559494721,五好青年张皓皓,2022-10-29 16:42:15,昨天幼儿园跳绳进第6名，很开心，所有的收获都是努力付出换来的，一个月跳绳比赛争取保持今天幼小衔接看图说话主动举手发言，被老师给予3🌟，每次被表扬都特别开心，距离小区解封还有4天，愿疫情早点过去南京,0,10,12
9,4829961309394684,桐桐飞飞,2022-10-29 17:32:55,因为城市相隔甚远，我和姥爷相处的时间实在不多，但是这不妨碍老人家一直都是我心中最敬重的长辈。这几年的疫情，让家族聚会成为了奢望，小家伙还没见过太姥爷，却没想到从今往后，这会成为我们一辈子的遗憾。姥爷，一路走好！愿另一个世界一切安好，下辈子还想做您的外孙女🙏🙏🙏 ,0,0,0
9,4829961304673524,棒棒的种花兔,2022-10-29 17:32:54,#西安疫情#明天是不是要全市全员核酸鸭？求告知 ,0,2,0
10,4829953016734024,哥哥嫁我吗,2022-10-29 16:59:58,#郑州疫情#科幻的让我觉得不是2022年 ,1,3,15
10,4829961074248813,肇庆发布,2022-10-29 17:31:59,【案例警示！这些人违反疫情防控，被处罚了】案例警示！这些人违反疫情防控，被处罚了,0,0,0
10,4829961049604193,阿童木的心上人-,2022-10-29 17:31:52,疫情让我们感受苦难，体会到人生百态，让我们更加真实地感受到，明天和意外，你永远不知道哪一个先来! 全国各地疫情爆发，捐款捐物遵医爱医是善;做好自己的本分，守住善念的底线，真诚待人助人为乐也是善。 ,0,0,0
10,4829961032309230,Liisliya,2022-10-29 17:31:49,因为疫情 我今晚错过了有可能是我此生能参加的最有趣最有sense的婚礼 也见不到许久未见的新娘子damn刚加完班的我现在在爬山泄愤 ,0,0,0
10,4829961007927607,桃叻个桃,2022-10-29 17:31:43,#合肥疫情# 合肥·东方名邸 ,0,2,0
10,4829960998490836,ANUENG-,2022-10-29 17:31:41,#广饶疫情#什么时候能解封啊 ,0,0,1
10,4829960936097850,真的生气了_,2022-10-29 17:31:26,#哈尔滨疫情防控##哈尔滨疫情# 友友们，哈站目前还是正常出行吧？刚才看新公布的病例活动轨迹发现有哈站，我明天要在哈站中转换乘去天津呀，有绿码和核酸就能正常出行吧 ,0,1,0
10,4829960931379543,Vector数字,2022-10-29 17:31:25,#郑州疫情#只能我说好，不能你们说不敢 ,0,0,0
10,4829960918794385,福州气象,2022-10-29 17:31:21,#深秋里的诗意中国#【#云南迪庆秋色美如油画#】深秋时节，云南省迪庆藏族自治州色彩斑斓，景色优美。希望疫情早日结束，一起去欣赏祖国的大美河山。via:新华社 福州气象的微博视频 ,0,0,0
10,4829954497840865,庄时利和,2022-10-29 17:05:51,【案例警示！这些人违反疫情防控，被处罚了】案例警示！这些人违反疫情防控，被处罚了,17,32,118
11,4829961468511126,是彭彭诶,2022-10-29 17:33:33,#鄢陵疫情##河南疫情##河南疫情防控# 致“亲爱的”大河南就这几个新增，你们慌什么大家都很好，河南下面的不管哪个城镇，疫情都不严重，继续维持“感恩”有你们呢 ,0,0,0
11,4829961452260866,爱吃橙子的星星-,2022-10-29 17:33:29,2022.10.29封控第六天：//疫情是如此之近啊。,0,0,0
11,4829961423165401,xoxweoo,2022-10-29 17:33:22,每天一问：我真的需要这份工作吗/疫情啥时候是个头刚开始上班的时候还会用气垫打个底现在：这个世界已经没有我在意的人了,0,0,0
11,4829961419227217,贝TT拉,2022-10-29 17:33:20,昨天幼儿园跳绳进第6名，很开心，所有的收获都是努力付出换来的，一个月跳绳比赛争取保持今天幼小衔接看图说话主动举手发言，被老师给予3🌟，每次被表扬都特别开心，距离小区解封还有4天，愿疫情早点过去 南京 ,0,0,0
11,4829961406645995,祸决,2022-10-29 17:33:18,2022.10.29封控第六天：//疫情是如此之近啊。,0,1,0
11,4829961392755581,哲世宇界,2022-10-29 17:33:15,#南京疫情# 不理解了，为啥区域封控要把公共核酸点给停了？让不住小区的人咋办？@南京发布 ,0,2,0
11,4829958788877959,萧逸的小苏ovo,2022-10-29 17:22:54,#广州疫情#日增139 但复课 牛的 ,0,2,14
11,4829961339276562,福州广播电视台交通之声,2022-10-29 17:33:02,【福州：本轮累计报告“5+410”！】截至28日24点，本轮疫情福州市累计报告无症状感染者410例，确诊病例5例，当日新增82例，全市划定高风险区2个，中风险区48个。刚刚，福州召开新闻发布会，通报疫情防控最新情况#疫情防控# via福州日报 ,0,0,0
11,4829961309394684,桐桐飞飞,2022-10-29 17:32:55,因为城市相隔甚远，我和姥爷相处的时间实在不多，但是这不妨碍老人家一直都是我心中最敬重的长辈。这几年的疫情，让家族聚会成为了奢望，小家伙还没见过太姥爷，却没想到从今往后，这会成为我们一辈子的遗憾。姥爷，一路走好！愿另一个世界一切安好，下辈子还想做您的外孙女🙏🙏🙏 ,0,0,0
12,4829954497840865,庄时利和,2022-10-29 17:05:51,东京不同年龄段各剂次的疫苗接种率。目前日本新冠疫苗接种年龄已下探至6个月，不过重点保障的还是高龄人群的接种，因为老年人仍然是受新冠威胁最大的群体，并且日本也是一个老龄化十分严重的国家。截至10月27日，东京80岁以上老年人完成第三针接种的比例已经超过90%，完成第四针的也已经达到80%。#庄医生的疫情笔记##微博新知博主#,17,32,118
12,4829960890484723,江苏统计,2022-10-29 17:31:15,#数据发布#【前三季度江苏经济成绩单发布！经济回稳向好基础更加稳固】前三季度，面对错综复杂的国际形势和国内疫情多点散发、极端高温天气等多重超预期考验，全省上下认真贯彻落实“疫情要防住、经济要稳住、发展要安全”的重大要求，坚决担起“勇挑大梁”的重大责任，加快推进稳经济一揽子政策措施全面落地、充分显效，全省经济进一步回稳向好。根据地区生产总值统一核算结果，前三季度全省实现生产总值88652.7亿元，同比增长2.3%。其中，第一产业增加值2692.1亿元，同比增长3.5%；第二产业增加值40088.5亿元，同比增长2.8%；第三产业增加值45872.1亿元，同比增长1.7%。详情请点击前三季度江苏经济成绩单发布！经济回稳向好基础更加稳固查阅！,0,0,0
12,4829960889434179,那年那日那时那分-,2022-10-29 17:31:14,说说来郑的感受吧22年年初来的郑州，我记得没多久就经历了一次疫情，具体几月份忘记了，当时被封控在家，至少每天可以出去一人采购2个小时！第二次封控是在7月份，当时我属于次密接又被封控，这次是14天，上门核酸，特殊情况不予出去，的亏当时也是有余粮！要不然真是要饿死人的！经历过这两次疫情之后手头的积蓄几乎没有了！就计划解封之后要继续好好工作挣钱，存钱！所谓：手中有粮，心中不慌第三次疫情就是现在！此时此刻！已经被封控在家半个月了，越封控越焦虑！每个月贷款要还，生活要过，可是拿什么继续？？？这个月的任何费用我都没有继续存缴，我们难！企业难！国家难！告诉自己要挺住！要坚持到最后！可是这一天天的我真的是度日如年我爱我自己的国家，相信可以挺过这一关！可是每次报道的个位数的数字需要这么严谨的封控吗？？？,0,0,1
12,4829960865582402,不如你852058,2022-10-29 17:31:09,#锦州疫情# 没抢过大妈们，绿叶的菜一样都没有了，唯一一颗白菜还是我的母上大人给我的。祈祷🙏🏻3天解封！ ,0,0,0
12,4829960861123159,龚文祥,2022-10-29 17:31:08,今天是刘润年度演讲的日子。过去5年中国有5大个人演讲：罗振宇年度演讲，吴晓波年度演讲，刘润年度演讲、吴声年度演讲，龚文祥年度演讲，只有我一个人是面对草根阶层做年度演讲。全中国也只有这5个人有资格有能力做千人年度演讲。其他人都不行。但因为疫情都改到线上了。我的个人年度演讲安排到明年吧,0,1,1
12,4829960839627038,基大队长,2022-10-29 17:31:02,#广州疫情# 摇了摇头 叹了叹气 ,0,6,1
12,4829958851004590,-夜以成星,2022-10-29 17:23:09,来了一辆车卖菜 大家排队买菜 社区来拦着不让买双方吵起来 社区还卖惨怎么享受特权 随意进出 有饭吃饿不死 就看着别人饿死啊 还开始道德绑架 一直说自己怎么辛苦那大家只是想买菜一家几口等着吃饭有错吗xg不会死人防疫会死人#郑州疫情# ,0,5,11
12,4829960830716114,济宁新闻网,2022-10-29 17:31:01,【更济宁 | 手绘防疫漫画 助力疫情防控】 济宁新闻网的微博视频 ,1,1,1
