话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
 , , , , , , , , , ,1937500765,Zai也不見丶,m,2021/04/24,23:29:38,新冠;专治各种不服！
 , , , , , , , , , ,5714066718,微微女友,f,2021/04/24,22:44:05,继续求神拜佛，看看能不能保佑
 , , , , , , , , , ,1895966551,行摄行舞,m,2021/04/24,22:30:55,变异病毒
 , , , , , , , , , ,6658395558,山川情诗,f,2021/04/24,23:07:41,天哪  还是要采取措施赶紧防治吧   不然后果不堪设想
 , , , , , , , , , ,6739235953,哪有江東v,f,2021/04/25,08:12:53,早安早安
 , , , , , , , , , ,7367471313,阿真咿呀呦,f,2021/04/24,22:11:20,好可怕
 , , , , , , , , , ,5282924179,今日佘山,m,2021/04/25,17:30:49,转发
 , , , , , , , , , ,3489475051,大帅哥火星杀手,m,2021/04/25,12:12:08,可怕，人间地狱。感谢党，感谢国家。
 , , , , , , , , , ,2398250143,毗耶灵石,m,2021/04/25,07:03:38,幸好有喜马拉雅山挡住他们
 , , , , , , , , , ,2398250143,毗耶灵石,m,2021/04/25,07:02:39,啥失控，只不过是现在才报道而已，你信他去年控制得了？
 , , , , , , , , , ,6290086640,吧啦吧啦雨121,f,2021/04/25,06:39:44,净报道写没有用哒！
 , , , , , , , , , ,1704223795,黎小牛梓萱,m,2021/04/25,06:16:15,这回不分种姓了
 , , , , , , , , , ,2803626381,巴拉巴拉女妖精,f,2021/04/25,04:56:16,真行啊，直接解决人口问题，淦
 , , , , , , , , , ,2093733871,问题不大_y,m,2021/04/25,00:43:49,因为他们玩牛屎喝恒河水
 , , , , , , , , , ,6710747868,小风风呀air,m,2021/04/25,00:35:17,你们在这起啥哄啊？人家自己的政府都不严格管控，领袖还到处搞竞选，民众一起过大节，现在严重了怪谁呢？
https://m.weibo.cn/detail/4630858680763225,【#美股财报密集出炉# 疫情重燃引发投资者担忧，欧洲三大股市全线下跌】美国时间周二，美股三大指数开盘后小幅下行，随后走势分化，波动幅度有限。截至当天收盘，道指微涨0.01%，标普500指数微跌0.02%，纳指收跌0.34%。美股财报密集出炉 谷歌母公司一季度营收同比大涨周二美股财报密集发布。其中，谷歌的母公司Alphabet今年第一季度营收为553.1亿美元，较去年同期增长了34%，财报公布后其股价盘后涨超3%。美国超威半导体公司AMD今年第一季度营收34.5亿美元，同比增长93%，财报公布后该公司股价同样上涨近4%。市场等待美联储货币政策决议 观望情绪较浓美联储从当地时间周二开始召开为期两天的货币政策会议，并将于北京时间本周四凌晨公布利率决议。周二市场观望情绪较浓，预计美联储不大可能改变之前的政策立场，但会关注其是否会暗示开始缩减购债规模。疫情重燃引发投资者担忧 欧洲三大股市27日全线下跌欧洲三大股市在周二全线收跌。其中，伦敦股市收跌0.26%，巴黎股市跌0.03%，法兰克福股市跌0.31%。市场继续关注新冠疫情，尤其是印度新增确诊病例激增的严峻形势。疫情重燃引发投资者担忧经济复苏的信心。此外，瑞银27日公布了2021财年第一季度财报。在Archegos Capital爆仓事件对业绩造成打击的情况下，瑞银第一季度仍录得18亿美元的净利润。尽管净利润超过预期，但由于受Archegos影响程度出乎投资者意料，瑞银周二股价一度大跌逾3%。 国际油价27日上涨原油价格周二上涨，6月交货的纽约轻质原油期货价格报收于每桶62.94美元，6月交货的布伦特原油期货价格收于每桶66.42美元。不过有分析人士指出，虽然欧美地区的疫情有所缓解，原油需求有望得到提振，但是印度及日本等国疫情反弹，因此亚洲地区的原油需求将受到影响，短期内原油走势缺乏明显反弹动力。 国际金价27日微幅下跌国际金价周二微幅下跌0.07%，纽约商品交易所6月交货的黄金期货价格报收于每盎司1778.8美元。（记者 张曼曼）  央视财经的微博视频 ,2258727970,央视财经,m,2021/04/28,07:30:08,23,3,52, , , , , , 
https://m.weibo.cn/detail/4630220273619688,【#张文宏谈印度疫情#：更大的暴发还在后面】昨晚，@张文宏医生 发文谈印度疫情失控的深层原因和走向：①印度病毒株出现双突变，但不是此次完全失控的原因；②印度死亡率4月迅速上升，主因是医疗挤兑。印度目前最需要的是氧气，胜过任何药物，可以降低年轻病人死亡。③印度能否通过大流行获得群体免疫？印度累计感染率为1.16%，离群体免疫70%的水平估计需要几十年的时间。④疫苗仍然是对付疫情的重要法宝。⑤即使现在马上加快疫苗接种，也已经来不及了，印度更大的暴发还在后面。,5476386628,侠客岛,m,2021/04/26,13:13:21,78,121,747, , , , , , 
 , , , , , , , , , ,1250041593,肌肉阳刚,m,2021/04/26,13:48:30,舔美网红张公知一口咬定武汉是新冠起源地，各种花式舔美全被打脸的时候，侠客岛咋不采访?作协和传媒真是公知大本营啊。
 , , , , , , , , , ,1401198487,圆圆的奥尔特星云,m,2021/04/26,13:14:51,希望我们也有针对性的应对。印度这变异N次的病毒能不能还按照之前14天潜伏期来隔离处理呢？没有更多数据以前是不是应该多增加些隔离时间防患于未然呢
 , , , , , , , , , ,7309292342,蟹大夫,m,2021/04/26,13:48:03,挤兑的医院现在是主要传染渠道了。死人最少的方案是普通医院不收治，设立专门医院，全面封锁。以目前的等级，需要数十万个专业医疗团队和配备的仪器药物，几百万的志愿者和网格员维持防疫体系运转。数千万甚至数亿的人在封闭状态下全职工作保证社会正常运行。印度，一条也没有。
 , , , , , , , , , ,6135188767,清野梁,f,2021/04/26,13:17:22,先提前加强边境管理吧
 , , , , , , , , , ,3748451923,普及义务教育的科学基础,m,2021/04/26,13:38:41,慌啥？美国3亿人一天新增30万死亡3000多美吹们不是还夸一片祥和么。这印度13亿人一天30万，印度咋就地狱了？美国去年4倍地狱了么？等印度和美国感染死亡比例差不多的时候再说。[/cp]
 , , , , , , , , , ,1559581280,草莓S主义,f,2021/04/26,13:19:22,印度的灾难就是全世界的灾难
 , , , , , , , , , ,6940134802,蛋蛋无所不能,m,2021/04/26,13:15:45,可惜了…没有印度的扁扁来描述一下遍地的无主手机
 , , , , , , , , , ,1616353937,长春张无非,m,2021/04/26,13:24:31,张文宏不能闭嘴吗？
 , , , , , , , , , ,5392532121,张林10070,m,2021/04/26,13:32:28,据在印度生活的中国人说，印度实际感染率不止50%，因此距离70%并不遥远。问题是突变病毒是否能突破原来的抗体?这次很多未知领域，是人类的严重考验。
 , , , , , , , , , ,2376092902,健行渐远0920,m,2021/04/26,14:13:40,网红张医生还真要在懂王之路走到底了
 , , , , , , , , , ,6538241966,小若阿,m,2021/04/27,10:56:38,懒得管这些闲事，好心只会被反咬一口，吃力不讨好的事别做了，我们应该做的就是加强边境管理，控制外境输入，保护好本国人民，继续抗击疫情。
 , , , , , , , , , ,3318872511,绝版幽雪,m,2021/04/26,14:08:56,印度 can help 
 , , , , , , , , , ,6357589899,格聂的格桑花,m,2021/04/26,13:15:58,去年就担心印度会这样，毕竟去过印度的人都知道印度的底层百姓生活
 , , , , , , , , , ,5071792284,令狐布冲,m,2021/04/26,13:14:43,专业意见
 , , , , , , , , , ,6070456791,吝啬女魔阿姆的表哥,m,2021/04/26,13:14:17,张医生不怕因吹丝挺？？
 , , , , , , , , , ,2201357181,毁人不倦霸王龙,f,2021/04/26,13:14:44,
https://m.weibo.cn/detail/4629547537140618,【#印度单日新增确诊超34万# 谭德塞：这是可怕的提醒】印度疫情持续失控，单日新增新冠病毒确诊病例已突破34万例，再次创下本国及全球纪录。当地时间4月23日，世卫组织在瑞士日内瓦举行疫情发布会。总干事谭德塞对印度疫情的持续恶化表示严重关切。提醒要调动所有工具，采取全面和综合的方法来对付疫情的扩散。由于印度疫情严重恶化，目前多国已采取出入境限制措施。 看看新闻KNEWS的微博视频,1845864154,看看新闻KNEWS,m,2021/04/24,16:40:08,35,73,315, , , , , , 
 , , , , , , , , , ,3177078914,唱由我心,f,2021/04/24,16:51:30,印度和那个恶贯满盈的美国一样，自己无能但就是也不想她国“安宁”的恶劣东西中国人还是力争做好自己的事！高度警惕世界一切的反复无常！预则立.有备无患🙏🙏🙏
 , , , , , , , , , ,1803858525,自然的张侃,m,2021/04/24,16:59:15,从全局看，疫情丝毫没有消退。随时可能扩散。边界除了军事防卫，又多了疫情防控。特别是接壤的地方，边民互相走动是不可避免的。
 , , , , , , , , , ,5885135022,黑马713636,m,2021/04/25,05:29:30,没有在美国那里捞到救助，死要面子活受罪，坚决不向中国求购防疫支持，也表明了印度对中国的态度
 , , , , , , , , , ,1219182541,瀛寰孤客,m,2021/05/03,11:21:40,潭德塞越看越讨厌！耍嘴皮子。
 , , , , , , , , , ,1245022914,任它随风飘荡,m,2021/04/25,15:59:50,这个有奶便是娘的渣渣谭德塞
 , , , , , , , , , ,2445030942,穷木匠开张,m,2021/04/24,22:34:06,阿三日增病例30万还跟没事儿似的，咱增俩位数就进入战时状态，这就是区别，阿三能不失控？
 , , , , , , , , , ,1449154794,四季外套,m,2021/04/26,18:02:25,没看出世卫组织有什么着急
 , , , , , , , , , ,3177078914,唱由我心,f,2021/04/26,11:43:05,回复@CHINA950819615 的表态:
 , , , , , , , , , ,2369286421,泌园春鲁,m,2021/04/25,17:56:00,
 , , , , , , , , , ,5875938752,倔猴爱上幽默羊,f,2021/04/25,17:52:06,自作自受
 , , , , , , , , , ,3814850569,郑三岁哟哟哟,m,2021/04/25,15:30:17,意料之中   三哥永远是刷新纪录的国家
 , , , , , , , , , ,7544765301,fucknfuck,m,2021/04/25,11:47:17,喝牛尿不管用吗？
 , , , , , , , , , ,3120734835,郁吴所有,m,2021/04/25,11:38:08,印度信仰的力量太大，以为新冠病毒没什么大不了。
 , , , , , , , , , ,5251581985,廊坊高校新鲜事儿,m,2021/04/24,22:20:37,#印度疫情# 【#印度单日新增确诊超34万# 谭德塞：这是可怕的提醒】印度疫情持续失控，单日新增新冠病毒确诊病例已突破34万例，再次创下本国及全球纪录。当地时间4月23日，世卫组织在瑞士日内瓦举行疫情发布会。总干事谭德塞对印度疫情的持续恶化表示严重关切。
 , , , , , , , , , ,6111228290,小福的雪姐姐,f,2021/04/24,19:25:37,希望疫情早点过去
 , , , , , , , , , ,1865988673,宋妍熙_,f,2021/04/25,09:14:28,听说你还想派人来调查中国🇨🇳什么老谭？
 , , , , , , , , , ,2987291882,什么网名最低调,f,2021/04/24,17:21:13,转发微博
https://m.weibo.cn/detail/4630232609590727,【好消息】“回港易”扩大至内地各省市！香港居民从内地回港免14天隔离检疫！每日配额：- 深圳湾口岸3000个- 港珠澳大桥香港口岸2000个- 香港国际机场1000个申请者必须是香港居民，需先预约申请，大家可于明日(27日)凌晨于网上系统预约，最快本周四(29日)返港！#香港疫情##新型冠状病毒# ,2459924257,黄芷渊,f,2021/04/26,14:02:22,7,15,46, , , , , , 
https://m.weibo.cn/detail/4630942255682490,【#印度新德里官员五星级酒店隔离# 安排医护人员专门护理】4月27日，据路透社报道，印度新德里政府下令将阿育王酒店100间套房改造为隔离房，供高等法院官员及家属使用，并安排医护人员专门护理。新德里是目前印度疫情最严重的城市之一，当地新冠检测阳性率接近3成，平均每4分钟就有1人死亡，许多病人一床难求。#聚焦新冠肺炎疫情# @世面 世面的微博视频,6124642021,新京报我们视频,m,2021/04/28,13:02:15,8,29,73, , , , , , 
 , , , , , , , , , ,7152666051,国色天香的老公,m,2021/04/28,13:07:43,把@方方 送去印度写《印度日记》，同意的顶起
 , , , , , , , , , ,6522177639,希望在漫步2018,f,2021/04/28,13:04:33,不懂就问：我们国家一定不会有这样的事吧
 , , , , , , , , , ,3929974945,木子_lcq,f,2021/04/28,13:03:08,所以   有钱能使鬼推磨？
 , , , , , , , , , ,1617261253,不_告诉你_,m,2021/04/28,13:14:10,哪都一样，官商优先
 , , , , , , , , , ,5929038473,江右阿卡林,m,2021/04/28,13:03:11,高种姓优先
 , , , , , , , , , ,3385732090,喝咖啡加香菜汁,m,2021/04/28,16:28:55,印共想啥呢？！现在时机成熟了！出击吧！
 , , , , , , , , , ,2936114491,白珊瑚上的小丑鱼,f,2021/04/29,10:26:03,有钱活没钱死
 , , , , , , , , , ,6101914951,月夜里的游魂,m,2021/04/28,13:03:17,@帝吧官微 看看民主国家就是好，五星级
 , , , , , , , , , ,6017220383,不甘不乐,m,2021/05/08,11:10:04,经典朱门酒肉臭路有冻死骨 平民在路边打点滴 权贵在豪华酒店包房配有设备更有医护人员陪
 , , , , , , , , , ,5940435482,xlive2020,m,2021/04/28,15:59:03,这酒店真不错，五星级
 , , , , , , , , , ,7163279895,蒙古海军指导员,m,2021/04/29,06:17:24,说得好像你们没有特需病房似的
https://m.weibo.cn/detail/4630977265797542,【#印度疫情# 单日新增超36万再创新高 #死者被家人用摩托拉去火化# 】截至当地时间28日上午8时，印度过去24小时新增确诊病例360960例，新增死亡病例3293例，双双刷新纪录……由于救护车资源严重短缺，有新冠死者被迫“夹坐在”摩托车上，送往火葬场火化@海客新闻 海客新闻的秒拍视频 ,3197759105,仰止条侯,m,2021/04/28,15:21:22,3,0,4, , , , , , 
https://m.weibo.cn/detail/4630573442139884,【#中国疫苗全球供应突破1亿剂次#】近来，中国疫苗在国内国际快速铺开。目前，中国全国累计报告接种新冠疫苗超过2亿剂次，中国疫苗全球供应已突破1亿剂次，正向80个国家和3个国际组织提供疫苗援助，向40多个国家出口疫苗。中国疫苗的快速普及，为本国民众再添一层隐形“防护服”，也为海外民众送去抗疫希望。世界多国政要和民众接种，是对中国疫苗安全性和有效性的最好认可。（人民日报海外版；CK）,1649173367,每日经济新闻,m,2021/04/27,12:36:43,7,1,26, , , , , , 
https://m.weibo.cn/detail/4630320051127047,#全球日增确诊超72万例#美国新冠肺炎确诊超过3207万例，死亡超57万例#今日热门# 娱乐圈榜单的微博视频 ,7086074425,娱乐圈榜单,f,2021/04/26,19:49:49,1,0,2, , , , , , 
https://m.weibo.cn/detail/4628448381763863,【#西安一医务人员接种后仍感染原因公布#】西安市一名医院检验人员在已接种两剂新冠疫苗后，仍感染新冠病毒。昨天，《中国疾病预防控制中心周报》发表调查报告：原因是她在发病前5天，可能暴露于携带有英国变异病毒环境条件中。接种新冠疫苗使得患者临床症状较轻、病程短暂、病毒载量较低几乎没有传染性，已于4月9日出院。据流行病学调查，该检验人员很可能是在3月12日为2例境外输入（从乌兹别克斯坦回国）病例采集咽拭子时感染。（央视新闻）,2375086267,参考消息,m,2021/04/21,15:52:29,14,14,23, , , , , , 
https://m.weibo.cn/detail/4631331839672488,【上海九院心内科成功举办左心耳封堵动物实验培训班】2021年4月24日，上海九院“心视野”系列活动——左心耳封堵动物实验培训于在上海市浦东新区张江科创园举行。本次活动由上海交通大学医学院附属第九人民医院副院长王长谦、心内科张俊峰科副主任（主持工作）发起，旨在促进学术交流，增强优质医疗辐射力，吸引了来自全国多个省市、13家医院的28位心脏内科介入及心脏超声医生参加。【科普小贴士】房颤是临床最常见的心律失常疾病之一，中国房颤患者有1000-1350万人，其卒中风险高出常人5倍。2020年欧洲心脏病学会颁布了《房颤患者的综合管理指南》，指出房颤患者应基于“ABC”三方面进行综合管理，并将A-抗凝/预防卒中列在房颤管理的首要地位。对于非瓣膜性房颤患者，血栓栓塞性卒中约90%由左心耳血栓引起。房颤所致卒中具有高病死率、高致残率、高复发率，给家庭和社区带来巨大经济负担。通过封堵左心耳来避免房颤时在左心耳内形成血栓，从而降低房颤患者由血栓栓塞引发长期残疾或死亡的风险，技术成熟、临床证据充分。同时，此微创治疗方案可消除患者对长期口服抗凝治疗的依赖性，为患者提供治疗新选择。（心视野供稿）,3610711265,上海第九人民医院,f,2021/04/29,14:50:18,4,0,10, , , , , , 
https://m.weibo.cn/detail/4631034904447862,【#五一假期全面实施门票预约制度# 出行前做好准备哦】“五一”假期临近，文化和旅游部要求各地景区景点五一期间要严格落实“限量、预约、错峰”的要求，根据自身承载能力和当地疫情防控指挥机构要求，合理确定、严格执行限量要求，控制好接待游客数量，并全面实施门票预约制度。 此外，文化和旅游部今天（28日）还部署了五一假期旅游出行疫情防控工作，要求各地景区景点要严格遵守卫生防疫相关规定。 央视网快看的微博视频,1274460913,吉林交通广播,m,2021/04/28,19:10:24,1,0,3, , , , , , 
https://m.weibo.cn/detail/4630654861446603,#直击闵行新冠疫苗接种现场# #闵行要闻# 【没想到，你是这样“精神”的疫苗接种点！】 2021年4月21、22、23日，区融媒体中心开展了密集的调研工作，中心负责采编的副主任，采编部门相关主任，记者编辑，先后来到莘庄工业区、梅陇镇、七宝镇等各融媒体分中心所在街镇（工业区）的临时疫苗接种点，我们一次次走近那些排队的人群，一次次询问有关疫苗接种的事，无论在工业区的园区，还是梅陇的会所里，抑或是七宝的文体中心，都让我们看到一种精神，并且要为这种精神叫好。这里有时不我待，舍我其谁，敢想敢做的精神；有勇于率先、敢比敢学、勇赶勇超的精神；还有一种未雨绸缪、高瞻远瞩、从长计议的精神。我们认为在闵行经济社会发展进程中，应该努力发扬这种精神，始终把精神的力量投入到具体的工作实际中，敢于抵抗一切困难，敢于面对任何危机，我们就一定能使我们的各项工作从起步到超越、从迈步到突破，从阶段性成果到实现全面胜利。 没想到，你是这样“精神”的疫苗接种点！,2610594573,今日闵行,m,2021/04/27,18:00:15,21,2,5, , , , , , 
https://m.weibo.cn/detail/4628373093483172,#日本疫情# 昨天日本新增确诊病例4343例……今年奥运会不会成为日本的滑铁卢？每个县分一罐核废水得了，以毒攻毒 ,3197759105,仰止条侯,m,2021/04/21,10:53:19,0,3,7, , , , , , 
https://m.weibo.cn/detail/4630621568110137,【这款“全新作用机制”抗流感新药有望国内上市，全病程只需服用一次！】国家药品监督管理局官网4月25日显示，罗氏的抗流感新药玛巴洛沙韦片（Xofluza）上市申请审评状态变更为“在审批”，意味着这款全新作用机制的抗流感创新药即将在国内上市。目前广泛使用的抗流感口服用药为神经氨酸酶抑制剂类抗病毒药物（奥司他韦），需要每日服用两次，连续服用5天。而全新作用机制的玛巴洛沙韦（Xofluza）可以直接抑制病毒复制，患者在全病程只需服用一次，就能在24小时内停止病毒排毒。,2557375422,浦东发布,f,2021/04/27,15:47:57,5,0,4, , , , , , 
https://m.weibo.cn/detail/4629630562342550,【连续10天确诊病例超20万 #印度疫情为何失控#？】4月24日，印度新增新冠肺炎确诊病例34.6万例，再创新高。连续10天新冠病例确诊病例超过20万，#印度疫情#全面失控。印度第二波疫情发展迅猛，日新增新冠病例远超第一波疫情的峰值。印度疫情反弹的原因主要有：首先，双重变异病毒毒株具有更强的传染性；其次，印度各地医疗系统濒临崩溃，人员超负荷运转，物资短缺，导致患者无法及时接受治疗。第三，近期印度政府与民众对疫情放松警惕。民众大规模集聚庆祝传统节日，更有农民不顾疫情大规模游行示威。@世面 世面的微博视频,1644114654,新京报,m,2021/04/24,22:10:03,24,55,169, , , , , , 
 , , , , , , , , , ,5840538067,今夕何夕一如往昔,m,2021/04/24,22:16:36,还用为何这个词语疑问？阿三国早晚的，虽然药物上不得不说很牛。但阿三们精神上太无敌了，甚至藐视新冠，奶奶的，不弄你丫弄谁，反正你们爱美国。宝莱坞“接锅侠”加油哦
 , , , , , , , , , ,1845827521,一颗肉丸啊,f,2021/04/25,00:40:06,感谢政府感谢党 让我生在一个好国家
 , , , , , , , , , ,6297830659,我的老公是头猪Cc,f,2021/04/24,22:11:48,照这样下去，印度疫情只会越来越严重
 , , , , , , , , , ,5921306071,一个梦想仗剑走天涯的凡夫俗子,m,2021/04/25,07:43:14,印度的牛屎不是可以对抗病毒吗
 , , , , , , , , , ,5469580601,全山屁股我腚最红,m,2021/04/24,22:40:53,那不是两百多万？怎么每个媒体的数据不一，算算到现在也快过亿了吗？
 , , , , , , , , , ,1937500765,Zai也不見丶,m,2021/04/24,23:29:38,新冠;专治各种不服！
 , , , , , , , , , ,5714066718,微微女友,f,2021/04/24,22:44:05,继续求神拜佛，看看能不能保佑
 , , , , , , , , , ,1895966551,行摄行舞,m,2021/04/24,22:30:55,变异病毒
 , , , , , , , , , ,6658395558,山川情诗,f,2021/04/24,23:07:41,天哪  还是要采取措施赶紧防治吧   不然后果不堪设想
 , , , , , , , , , ,6739235953,哪有江東v,f,2021/04/25,08:12:53,早安早安
 , , , , , , , , , ,7367471313,阿真咿呀呦,f,2021/04/24,22:11:20,好可怕
 , , , , , , , , , ,5282924179,今日佘山,m,2021/04/25,17:30:49,转发
 , , , , , , , , , ,3489475051,大帅哥火星杀手,m,2021/04/25,12:12:08,可怕，人间地狱。感谢党，感谢国家。
 , , , , , , , , , ,2398250143,毗耶灵石,m,2021/04/25,07:03:38,幸好有喜马拉雅山挡住他们
 , , , , , , , , , ,2398250143,毗耶灵石,m,2021/04/25,07:02:39,啥失控，只不过是现在才报道而已，你信他去年控制得了？
 , , , , , , , , , ,6290086640,吧啦吧啦雨121,f,2021/04/25,06:39:44,净报道写没有用哒！
 , , , , , , , , , ,1704223795,黎小牛梓萱,m,2021/04/25,06:16:15,这回不分种姓了
 , , , , , , , , , ,2803626381,巴拉巴拉女妖精,f,2021/04/25,04:56:16,真行啊，直接解决人口问题，淦
 , , , , , , , , , ,2093733871,问题不大_y,m,2021/04/25,00:43:49,因为他们玩牛屎喝恒河水
 , , , , , , , , , ,6710747868,小风风呀air,m,2021/04/25,00:35:17,你们在这起啥哄啊？人家自己的政府都不严格管控，领袖还到处搞竞选，民众一起过大节，现在严重了怪谁呢？
