页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4830291691311458,-芍药六两-,2022-10-30 15:25:44,#郑州疫情#今天上午去了趟菜市场下午通知继续封早知道会这样，我就多买点菜了之前从未禁过快递外卖我还参加了双十一 ,0,0,0
1,4830291687117254,秒懂大盘,2022-10-30 15:25:43,居危思安 #财经##股票##疫情# ,0,0,0
1,4830291673745747,我只吃了车厘子,2022-10-30 15:25:40,#哈尔滨疫情#蹲个道外 ,0,0,0
2,4830291673485448,意年年年,2022-10-30 15:25:40,#广州疫情#6。。191例还让跨区的回来上课 ,0,1,1
2,4830291648318209,福州生态环境,2022-10-30 15:25:34,#福州疫情##福州战疫#【探秘核酸移动方舱实验室】10月26日，福建医大附一医院启用奥体院区核酸移动方舱实验室。方舱队员来自附一医院在内的各地多家省市级医院，共39人。各区域相互独立，不互通气流，能实现人流、样本流、污物流的相互分离，确保检测人员和环境安全。福州发布的微博视频,0,0,0
2,4830291635472572,广东广播电视台城市之声,2022-10-30 15:25:31,多家商超生鲜平台加大备货量_广州日报大洋网 本周末是广州市控制本轮疫情处置的关键窗口期。29日，广州日报全媒体记者获悉，多家商超与生鲜平台已经启动快速响应机制，全力配合做好“保供给、稳价格”工作，满足广州市民需求。多家商超生鲜平台加大备货量 ,0,0,0
2,4830291594314069,Super_Aking,2022-10-30 15:25:20,#阜阳疫情#阜阳又有小🐏人了？,0,0,0
2,4830291594053159,合肥艾美加装饰,2022-10-30 15:25:21,全面做好疫情防护工作，合肥装修，再坚持一下……#装修经验谈##合肥装修设计##合肥艾美加装饰# 合肥·恒盛豪庭 合肥艾美加装饰的微博视频 ,0,1,1
2,4830291590645103,做一只胖橘,2022-10-30 15:25:19,sb疫情 ,0,0,0
2,4830291572559672,z____L,2022-10-30 15:25:16,#福州疫情##福州战疫#【探秘核酸移动方舱实验室】10月26日，福建医大附一医院启用奥体院区核酸移动方舱实验室。方舱队员来自附一医院在内的各地多家省市级医院，共39人。各区域相互独立，不互通气流，能实现人流、样本流、污物流的相互分离，确保检测人员和环境安全。福州发布的微博视频,0,0,2
2,4830291561288160,河南农业大学农学院,2022-10-30 15:25:13,多家商超生鲜平台加大备货量_广州日报大洋网本周末是广州市控制本轮疫情处置的关键窗口期。29日，广州日报全媒体记者获悉，多家商超与生鲜平台已经启动快速响应机制，全力配合做好“保供给、稳价格”工作，满足广州市民需求。多家商超生鲜平台加大备货量,0,0,0
2,4830291560759879,Lulu-Ding,2022-10-30 15:25:12,例行检查……苦中作乐……广州加油😷😷😷#广州疫情# 广州·广州富力君悦大酒店 ,0,0,0
3,4830291540317686,小小只的臀er,2022-10-30 15:25:08,去阅海湾水上公园，虽然现在疫情，但是这明明是一个公共公园，我们有绿码也有绿色行程码，西夏区西花园小区昨天就没有集体组织做核酸，今天上午做的结果还没出，我们是28号上午10点的核酸阴性结果，阅海湾水上公园的保安非说不行，说今天10点前进来可以，10点以后就不让进了，给他解释了也不听，而且态度十分恶劣，直接说那你去打市长热线去，真是令人气愤！@问政银川银川·阅海湾水上公园,0,0,0
3,4830291506762367,西宁晚报官方微博,2022-10-30 15:25:00,#关注民生诉求# 10月30日上午9点40分左右，城中区疫情防控工作处置指挥部接到家住香格里拉三期的李女士电话，李女士称自己身体不舒服，需要前往互助巷医院就医，接到电话后，爱心车队立即安排车辆前往香格里拉三期。#西宁疫情防控# ,0,0,0
3,4830291506498428,健康龙泉驿,2022-10-30 15:25:00,#疫情防控#“复阳”患者是否具有传染性？搞清这个数值就全明白了→,0,0,0
3,4830291497062616,阿舟微博,2022-10-30 15:24:58,#大同疫情#山西大同又不是只有煤，大同还有百姓呀！大同当官的你们是古代的么别告诉我你们不玩手机眼睛瞎了么耳朵聋了么看看你们那完犊子的怂样！啥瘠薄不是！不配为人！我一个外地人看着都跟着难受你们自己摸摸良心吧天道好轮回,0,0,2
3,4830291493389198,林妹妹Scarlett,2022-10-30 15:24:57,#广州疫情#去年在芳村一个月的量海珠区一天就完成了 ,0,1,1
3,4830291481334091,兰山融媒,2022-10-30 15:24:54,#疫情防控#“复阳”患者是否具有传染性？搞清这个数值就全明白了→,0,1,0
3,4830291476873815,西部网宝鸡频道,2022-10-30 15:24:52,发布了头条文章：《宝鸡核酸贴纸“税小宝” 既当疫情防控“守门员”又当税收“宣传员”》  宝鸡核酸贴纸“税小宝” 既当疫情防控“守门员”又当税收“宣传员” ,0,0,0
3,4830291469011780,一只-小松许女士x,2022-10-30 15:24:51,#兰州疫情#已经不知道说啥了：祝好🙏🙏 ,0,0,0
3,4830285823217576,深圳小天,2022-10-30 15:02:25,老爷保号，老爷保号。#2022年10月30日广东省新冠肺炎疫情情况##天下之事#深圳小天 ,4,8,29
3,4830291451710937,三秦青年,2022-10-30 15:24:47,#大同疫情#山西大同又不是只有煤，大同还有百姓呀！大同当官的你们是古代的么别告诉我你们不玩手机眼睛瞎了么耳朵聋了么看看你们那完犊子的怂样！啥瘠薄不是！不配为人！我一个外地人看着都跟着难受你们自己摸摸良心吧天道好轮回,0,0,0
4,4830285823217576,深圳小天,2022-10-30 15:02:25,老爷保号，老爷保号。#2022年10月30日广东省新冠肺炎疫情情况##天下之事#深圳小天 ,4,8,29
4,4830291451710937,三秦青年,2022-10-30 15:24:47,【#四名中国公民在韩踩踏事故中遇难#】今天，中国驻韩国大使馆向总台记者确认：又有一名中国公民在韩国首尔梨泰院踩踏事故中遇难。截至目前，共有4名中国公民在此次事故中遇难，#另有两名中国公民在韩踩踏事故中受伤#。#驻韩国大使馆提醒在韩中国公民加强安全防范#：①重视人身安全。②做好疫情防护。③报备个人信息。如遇紧急情况，及时报警并与使馆取得联系寻求协助。↓↓,0,0,0
4,4830285185157604,拆台CT,2022-10-30 14:59:53,【#四名中国公民在韩踩踏事故中遇难#】今天，中国驻韩国大使馆向总台记者确认：又有一名中国公民在韩国首尔梨泰院踩踏事故中遇难。截至目前，共有4名中国公民在此次事故中遇难，#另有两名中国公民在韩踩踏事故中受伤#。#驻韩国大使馆提醒在韩中国公民加强安全防范#：①重视人身安全。②做好疫情防护。③报备个人信息。如遇紧急情况，及时报警并与使馆取得联系寻求协助。↓↓,43,129,701
4,4830291439652767,要认真且用力地生活,2022-10-30 15:24:44,2022年10月30日午觉起来，放弃去图书馆，发泄完情绪后把痛苦写下来。研三上的生活真是让人透不过气来特别是在目前秋招开始，大量招聘公告加疫情越来越严重的时候！每天都在自我怀疑，自我认为能力不足，但是又很想要很多很多每看一种资料都在怀疑自己是不是真的想要从事这项工作，然后又陷入沉思，但是时间又宝贵得流逝……科研、教师、公务员一直让人徘徊不前招聘铺天盖地，竞争对手从博士，教育部直属师范大学，公费师范生，到非应届，社会人士都有，岗位比例有一万比一的……周围同辈群体的压力，父母的压力，导师的压力一起迸发加之疫情防控不好，出行自由限制更是难以舒缓情绪有时候情绪不稳定爆发，还被质疑能力，被人认为自己能力不足以去考博去当老师该如何在这人生重要时刻做出重要的选择？感觉怎么选都有遗憾，都不满足自己的野心，都不太爽但是社会情况就是这样，时代赋予这群人要面临的，不得不面临如何是好？还是继续沿着道路一步一步地走了，做可能就会减少焦虑了。,0,0,0
4,4830291418153169,只是冲浪啊,2022-10-30 15:24:38,狗疫情 ,0,0,0
4,4830290130241840,腥闻人,2022-10-30 15:19:32,网友@ATM微博 私信说兰州疫情严重没人管，实际情况不比富士康好。有没有当地人来证实下，这名网友说的是真的吗？#兰州##河南多地致信本地在郑州富士康工作人员# ,0,17,21
4,4830291351307121,胡诚HC,2022-10-30 15:24:23,#呼和浩特疫情# 广大的“难民”同胞们，请问哪里能买上食用油啊！ ,0,0,0
4,4830291309364488,Icey霞子_428,2022-10-30 15:24:13,#一条plog告别十月##疫情退散##我们终将战胜疫情# ,0,0,0
4,4830291300717212,疯疯爱叨叨,2022-10-30 15:24:11,这疫情，能出来买个鸡腿加西瓜碎奶…这得是真爱啊。但好像感觉现在福伯家的鸡腿好像越来越不如从前了…#同城种草##福州美食##福州探店# 福州·福伯烧仙草(至诚店) ,0,1,2
4,4830291295997588,我再睡一会可以吗,2022-10-30 15:24:10,“这是人们会说起的一年这是人们说起就沉默的一年”女儿看着父亲死去婴儿见证母亲无助家乡不再温暖，它吞噬落叶不浪漫，只承重#新疆乌鲁木齐疫情# ,0,0,1
5,4830291287347755,我就很懒,2022-10-30 15:24:08,还好疫情前拍了秋天 ,0,0,2
5,4830291275286718,JoeMuRong,2022-10-30 15:24:05,#梵克雅宝##呼和浩特疫情#科普一下3w是多少钱,0,0,0
5,4830291271093600,千雪旖旎,2022-10-30 15:24:04,白河湾湿地已经成了露营者们非常喜爱的去处，沿着河湾，一处处露营地即便在寒意深重的季节也还迎来了不少游客。三年疫情，改变了人们的旅游观念和生活方式。,0,0,0
5,4830291267689079,爱自由的夏天,2022-10-30 15:24:03,#梵克雅宝##呼和浩特疫情#科普一下3w是多少钱,0,0,0
5,4830291245402360,自律是对的吧,2022-10-30 15:23:58,不到6点就被单位喊起来怕被封小区，直接把冬天的衣服穿上了。然后就是核酸和撵摊位，今天获得了群众的认可，又要送我栆，又要送我葡萄，我不要直接扔公车上了还。最后我也没拿。虽然真的累但是欣慰，疫情防控互相理解吧，柔性执法互相理解吧。 秦皇岛 ,0,0,0
5,4830291225741310,yukitt815,2022-10-30 15:23:53,咳咳～～好久不见真生活，就能找到被人生偷藏起来的糖果🍬记录近日的封控日常，争做万圣节的矫揉造作鬼😜🥸希望疫情快快好起来早日解封🥰!!#疫情##万圣节##生活# 广州·广州芭蕾舞团 ,0,0,0
5,4830291221022398,·梨花沐雨·,2022-10-30 15:23:52,#南京疫情#封控区十一月中旬能出去吗 ,0,0,0
5,4830291141595621,晚上别再饿了,2022-10-30 15:23:33,白河湾湿地已经成了露营者们非常喜爱的去处，沿着河湾，一处处露营地即便在寒意深重的季节也还迎来了不少游客。三年疫情，改变了人们的旅游观念和生活方式。,0,0,0
5,4830291125083079,中原发布,2022-10-30 15:23:29,孩子因为疫情下周继续停课，此事让我有点烦恼，只能带着她去上班了。我担忧的好像是，老板对此会有意见。先不要预设，如果老板真的有意见，我再想其他的办法。对于活死人老公，我还是当空气吧。就当我单身带着孩子，遇到问题我该怎么解决就怎么解决。抱怨没有用，除了让自己心绪不宁，情绪失控，并不能解决问题。,0,0,0
6,4830291102796759,Ghostjing,2022-10-30 15:23:24,给孩子们逼得 都开始以物换物 疫情疫情封校时的大学生活 ,0,0,1
6,4830289660480431,元三晋,2022-10-30 15:17:40,#当地政府已向郑州富士康派驻工作组#郑州富士康是世界级的电子加工厂，有着先进的现代企业管理体系，拥有35万人的庞大工人群体，在前两年的疫情和水灾的冲击下并没有发生混乱，为什么最近的疫情防控表现的如此拉胯？年轻的工人不管不顾逃离工厂，即使在集团公司公开辟谣后，他们依然要徒步几十公里上百公里回到家乡隔离，我觉得有这么几点原因：1、疫情数据不透明引起不信任。前几天河南官方确诊增加的数据是2位数，但这些工人亲眼所见身边有人接二连三羊了以后被拉走隔离了，这让他们产生了怀疑。2、隔离措施不完善且混乱。厂区羊人猛然增多以后，从被隔离人所拍的视频来看，缺衣少食没人过问，该有的治疗更是没有，很多人觉得被抛弃后崩溃了。3、工厂管理层为了保住生产量，硬性将资源集中到出勤员工上，缺乏对染疫员工及其舍友工友的安抚和关怀。#富士康#希望工作组进驻以后，能迅速摸清相关的数据并公之于众，看看少量人涉疫到底少到什么程度，将羊性工人纳入政府的防疫体系，改善隔离治疗环境，安抚工人惊慌的心理，保障他们的合法权益。#郑州疫情#,2,2,19
6,4830291091261475,健康龙泉驿,2022-10-30 15:23:21,重点风险提示！对照自查有轨迹重叠请立即报备！#龙泉驿疫情防控#,0,0,0
6,4830291070554067,光明发布,2022-10-30 15:23:16,【重要提醒！请到过光明区这些场所的居民立即报备！】近日，深圳市核酸检测异常人员曾先后到访过光明区相关场所。为迅速控制疫情，阻断疫情传播扩散，尽可能减少对光明辖区居民朋友健康和生活的影响，请在以下时间点到访过相关场所的居民进行申报⬇️#抗击疫情光明在行动#,0,0,0
6,4830291065573413,拆台CT,2022-10-30 15:23:15,#当地政府已向郑州富士康派驻工作组#郑州富士康是世界级的电子加工厂，有着先进的现代企业管理体系，拥有35万人的庞大工人群体，在前两年的疫情和水灾的冲击下并没有发生混乱，为什么最近的疫情防控表现的如此拉胯？年轻的工人不管不顾逃离工厂，即使在集团公司公开辟谣后，他们依然要徒步几十公里上百公里回到家乡隔离，我觉得有这么几点原因：1、疫情数据不透明引起不信任。前几天河南官方确诊增加的数据是2位数，但这些工人亲眼所见身边有人接二连三羊了以后被拉走隔离了，这让他们产生了怀疑。2、隔离措施不完善且混乱。厂区羊人猛然增多以后，从被隔离人所拍的视频来看，缺衣少食没人过问，该有的治疗更是没有，很多人觉得被抛弃后崩溃了。3、工厂管理层为了保住生产量，硬性将资源集中到出勤员工上，缺乏对染疫员工及其舍友工友的安抚和关怀。#富士康#希望工作组进驻以后，能迅速摸清相关的数据并公之于众，看看少量人涉疫到底少到什么程度，将羊性工人纳入政府的防疫体系，改善隔离治疗环境，安抚工人惊慌的心理，保障他们的合法权益。#郑州疫情#,0,0,1
6,4830288050390398,zhong山先生,2022-10-30 15:11:16,#新疆乌鲁木齐疫情##郑州疫情# 一个韩国发生点事，各种报道，我看以后这些媒体别叫中国媒体了，叫外国热点媒体算了，就去当政府的喊话喇叭去吧。 ,0,2,35
6,4830291002658603,洁洁的小洁呢,2022-10-30 15:23:00,疫情......什么时候好什么时候......可以回家人能不能......不工作 以前赚钱可以买张回家的票现在赚钱也买不到张回家的票 ,0,0,0
6,4830285512578079,我比风甜吗,2022-10-30 15:01:11,重点风险提示！对照自查有轨迹重叠请立即报备！#龙泉驿疫情防控#,17,19,14
6,4830290973299285,堆堆儿糖儿ya,2022-10-30 15:22:53,解封遥遥无期，幸好刚刚朋友送来了菜#郑州疫情# 郑州 ,0,0,0
6,4830290969627114,嘉祺爱喝椰汁,2022-10-30 15:22:52,#无锡疫情#烦死了 怎么滨湖区没疫情啊？根本不想上学 根本不想期中考试 ,0,1,0
7,4830285512578079,我比风甜吗,2022-10-30 15:01:11,被确诊了竟然说猫是感染源起因：朋友的猫咪在一个星期前意外跳窗导致骨折，后去宠物医院做了手术并治疗过程：紧接着我们这里疫情突发严重了，朋友是医院的医护人员，医院要求医护人员进行医院闭环管理，由于是独居照顾不了手术后的猫咪，她的弟弟就把猫咪带回了老家。就在昨天朋友的弟弟确诊了新冠，今天社区竟然说怀疑传染源是猫咪，要把猫拿来处理了？仅仅只是怀疑，便要去杀害一条活生生的生命，难道人的命是命，宠物的命就不是命了吗？而且去搜索了相关的资料，并没有猫咪会传染新冠这一说！我知道现在我们这里的疫情严重，应该全力积极配合抗击疫情，如果说猫咪真的是阳性，该处理就处理，现在核酸也不给猫做，仅仅只是因为“怀疑”等不确定因素去残害宠物！！我为“爆米花”发声！我为人性的黑暗感到可怕！#永川##永川疫情##边牧老六##布偶#重庆·永川区,17,19,14
7,4830290973299285,堆堆儿糖儿ya,2022-10-30 15:22:53,解封遥遥无期，幸好刚刚朋友送来了菜#郑州疫情# 郑州 ,0,0,0
7,4830290969627114,嘉祺爱喝椰汁,2022-10-30 15:22:52,#无锡疫情#烦死了怎么滨湖区没疫情啊？根本不想上学根本不想期中考试,0,1,0
7,4830290943415500,恶月27号,2022-10-30 15:22:46,恨，疫情天津·天津滨海金隅嘉品Mall,0,0,0
7,4830290935810274,靓仔今天有运动么,2022-10-30 15:22:44,#郑州疫情#  唉 杭州 ,0,0,0
7,4830285462769749,河南高校开学的时间,2022-10-30 15:00:59,郑州公园府，菜也做核酸#郑州疫情##郑州疫情# ,0,3,14
7,4830290910645525,流川丶,2022-10-30 15:22:38,贵阳从疫情爆发到如今，这些政策真的是猪想出来的，和成都一对比我就感觉真的太sb了 贵阳 ,0,0,0
7,4830290889153656,腊月冬雪重逢,2022-10-30 15:22:33,#无锡疫情#烦死了怎么滨湖区没疫情啊？根本不想上学根本不想期中考试,0,1,0
7,4830290880764985,·白雪是我,2022-10-30 15:22:31,💙“这辈子人潮汹涌  感谢遇见你们”疫情和大哥分开了快10天了……好想他，才明白有大哥睡醒就有饭吃，也不用自己打水😂远亲不如近邻，身边一群人用爱温暖着我住在鑫妈妈这里被照顾的很暖 #日常碎片plog# ,0,1,0
7,4830285654659480,是蛋糕啊77,2022-10-30 15:01:45,#广州疫情#番禺赶紧停课，上半年不及现在的一半严重都停课了，现在不停课？，有什么理由不停课？几百例几百例的新增人数教育局你是看不到吗？每个学校那么多跨区生，风险多大没点数吗？😅😅不停课等着情况更糟吗😅😅 ,0,13,22
8,4830290935810274,靓仔今天有运动么,2022-10-30 15:22:44,#郑州疫情#唉杭州,0,0,0
8,4830285462769749,河南高校开学的时间,2022-10-30 15:00:59,郑州公园府，菜也做核酸#郑州疫情##郑州疫情#,0,3,14
8,4830290910645525,流川丶,2022-10-30 15:22:38,贵阳从疫情爆发到如今，这些政策真的是猪想出来的，和成都一对比我就感觉真的太sb了 贵阳 ,0,0,0
8,4830290889153656,腊月冬雪重逢,2022-10-30 15:22:33,#郑州疫情#唉杭州,0,1,0
8,4830290880764985,·白雪是我,2022-10-30 15:22:31,💙“这辈子人潮汹涌  感谢遇见你们”疫情和大哥分开了快10天了……好想他，才明白有大哥睡醒就有饭吃，也不用自己打水😂远亲不如近邻，身边一群人用爱温暖着我住在鑫妈妈这里被照顾的很暖 #日常碎片plog# ,0,1,0
8,4830285654659480,是蛋糕啊77,2022-10-30 15:01:45,#广州疫情#番禺赶紧停课，上半年不及现在的一半严重都停课了，现在不停课？，有什么理由不停课？几百例几百例的新增人数教育局你是看不到吗？每个学校那么多跨区生，风险多大没点数吗？😅😅不停课等着情况更糟吗😅😅 ,0,13,22
8,4830285067455221,检者青锋,2022-10-30 14:59:25,#南京工业大学回应一老师索要回扣#“不合适说法”？仅仅是不合适？公然向超市老板索要回扣，并且还发生在疫情封控期间，只是批评教育？学校的处理方式，会让人觉得索要回扣也不是什么大不了的事情，对学校形象甚至会对社会产生不良影响。#v光新星# ,1,3,16
8,4830290809978899,古山重花田社民宿,2022-10-30 15:22:13,山间自有清风疫情反反复复还是约上三五好友一起来山里感受秋天吧！ 漳州·花田社民宿 ,0,0,1
8,4830290767252209,酷土豆片,2022-10-30 15:22:04,人在家中坐，窗从天上来，一直没出京，也没到过有疫情的地方，还要求3天2检才能解 北京 ,0,0,0
8,4830290763581452,小凤花花,2022-10-30 15:22:03,都说等疫情结束你有没有想见的人？疫情期间有没有人关心你菜够不够？给你送来。 ,0,0,0
9,4830284245893577,一弘武馆,2022-10-30 14:56:08,#郑州疫情#为什么逃亡，不分昼夜，几百公里徒步回家，时隔80年悲剧重演，哀民生之艰！#郑州爆料##郑州# ,1,0,13
9,4830290621498685,monluvjk,2022-10-30 15:21:29,#广州疫情#烦死了！！！烦死了！！台面说控制，凌晨又发文加强社会面，wjw究竟掂唔掂？？真系不打脸？？？？政策也是，五时花六时变，真系痴线！,0,0,5
9,4830290583487342,旺旺仙贝粉er,2022-10-30 15:21:20,我愿意用单身换图书馆和小区解封求求了，再不解封我就要去看心理医生了#合肥疫情#,0,1,1
9,4830290578507885,大白小白ww,2022-10-30 15:21:19,#广州疫情#烦死了！！！烦死了！！台面说控制，凌晨又发文加强社会面，wjw究竟掂唔掂？？真系不打脸？？？？政策也是，五时花六时变，真系痴线！,0,1,0
9,4830290529485622,美丽国那些事,2022-10-30 15:21:07,疫情沦陷，收养的中国萌宝第一次参加线上毕业典礼 美丽国那些事的微博视频 ,0,0,0
9,4830290512709000,今天又想Karry了,2022-10-30 15:21:03,#邵阳疫情#邵阳疫情特别严重 ,0,0,1
9,4830290507991813,冬日量贩记忆,2022-10-30 15:21:02,#广州疫情#广州，牛牛哒 ,0,0,1
9,4830290495407482,Abby_pri,2022-10-30 15:20:59,每天睡的都头昏脑涨  眼皮浮肿抓紧结束吧这杯疫情💣 ,0,0,0
9,4830290437214324,灿灿等等,2022-10-30 15:20:45,我好想吃鸡公煲好想吃海底捞烦人的疫情 ,0,0,0
10,4830290437214324,灿灿等等,2022-10-30 15:20:45,我好想吃鸡公煲好想吃海底捞烦人的疫情 ,0,0,0
10,4830290436688944,京秦高速路况,2022-10-30 15:20:45,截至15时20分，因北京段拥堵，交警管制：玉田站双向、鸦鸿桥站至迁安站北京方向禁止黄牌货车上道。因疫情防控，玉田站、秦皇岛东站下道收费广场处车辆均缓慢通行约300米。京秦高速主线畅通，可正常通行。,0,0,0
