页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
7,4824931050981392,用户7793703083,2022-10-15 20:24:28,已经是旧闻了，前段时间看到对唐山打人者的宣判，不禁要说：判得好！既严惩了罪犯而又给了其改悔的机会，没有走极端，个人觉得对于严重犯罪分子只要不是杀人的或是严重伤残人的，如贪污或其它方面的最好不要判死刑但刑期如果能够超过二十四年就好了，比如像有些国家那样对犯罪分子判个几十年或上百年的 ,0,0,0
7,4824929365920490,Jessie的生活状态,2022-10-15 20:17:46,第一次好感张天爱是唐山打人事件她是第一个站出来说帮助女孩子的人到徐开骋出轨张天爱又警惕所有女孩擦亮眼睛然后徐开骋这些经典语录是天天写日记练出来的吗真是脏了娜扎和张天爱的眼还一口一个爱宝我听了都吐了,0,4,2
7,4824775665651378,QQ平台网名叫凡人的网民是一坨屎,2022-10-15 10:07:01,我想着我解散自己的QQ群，后人会比我干的更好，谁知道疫情、唐山打人案件、铁链女事件会在我解散自己的QQ群后接踵而来呢？我解散自己的QQ群，在没有管教众多网民了，可成没王蜂了，都去其他QQ群主的群里了网民。 ,0,0,1
8,4824929365920490,Jessie的生活状态,2022-10-15 20:17:46,江歌案让我想起了唐山打人案案件一江歌帮助刘鑫躲避最后被捅死假设唐山打人案女一因拒绝骚扰被打女一的朋友女二为了阻止被骚扰男性打死的话这两个案会是一个性质吗如果发生这种假设我们会像现实生活中的女一那样被打到起不来的时候还去找自己的朋友吗在明知道自己会被打死的情况下继续跑进没有监控的暗角嘛,0,4,2
8,4824775665651378,QQ平台网名叫凡人的网民是一坨屎,2022-10-15 10:07:01,我想着我解散自己的QQ群，后人会比我干的更好，谁知道疫情、唐山打人案件、铁链女事件会在我解散自己的QQ群后接踵而来呢？我解散自己的QQ群，在没有管教众多网民了，可成没王蜂了，都去其他QQ群主的群里了网民。 ,0,0,1
8,4824613106222445,河南绿树蓝天,2022-10-14 23:21:04,“唐山烧烤店打人案”一审宣判，主犯陈继志获刑24年网页链接,0,0,0
8,4824500233047854,王王今天开心吗,2022-10-14 15:52:33,“唐山烧烤店打人案”一审宣判，主犯陈继志获刑24年网页链接,0,0,4
8,4824457736882562,传播匠新传考研粥哥,2022-10-14 13:03:41,成毅#成毅电视剧底线#感觉底线还会有第二季，毕竟热点案件年年都有，我还挺想看唐山烧烤店打人案的🙉普法意义也很强。如果有第二季，其实挺想看哥哥再去演得，因为周亦安的故事没看够啊，不知道第二季还是不是第一季的人物，还是完全重新开盘。我觉得如果有第二季，那真的是香饽饽，估计都抢破头了，真的挺想看哥哥再突破一下的，因为我觉得第一季的周亦安并没有那么“完美”，很想看哥哥在正剧领域再更上一层楼。只要周亦安跟女朋友的亲密戏哒咩就好了,1,0,3
9,4824439864952293,地板革香水私我,2022-10-14 11:52:40,广智也好好笑哈哈哈哈哈毛豆怎么能那么好笑，全程哈哈哈哈哈哈哈哈哈对不起，第一次见毛豆觉得他穿上boy太像唐山打人事件当事人#毛豆# 后面觉得这不就是孟姐要的幽默男孩嘛 ,0,1,0
9,4824399968472715,y19890923,2022-10-14 09:14:08,与唐山烧烤店打人一样恶劣，河北三河黑中介长期占据他人房产拒付租金“你告我们去吧！租金就是不付给你了”！黑中介燕成华翰房产经纪有限公司（以下简称燕成华翰），未在住建局注册的黑中介，一直占据我房产却粗爆地停付租金。与唐山烧烤店打人一样恶劣、涉黑。2021年4月18日应燕成华翰的邀请我与其签定了《房屋出租代理合同》，将房子出租给燕成华翰，租期2021年4月20日至2023年6月19日（二年），每月租金1300元（按季付）。按合同约定2022年5月20日应付一个季度租金了，但燕成华翰既没事前协商也没有告知，就粗暴地停付了我的租金。到今年7月份我发现，燕成华翰5月20日以来一直没付给我租金（在租给他的过程中我一直没催要过租金），于是发微信给燕成华翰的业务员，其才说你的租金不付了，你找我们刘总吧（我于是要了刘的电话），结果一打电话，刘说：你的租金不付给你了，我们曾经打你电话一直没打通。我说：你根本没打通我电话，那你可以让业务员发微信给我、也可以发短信给我呀，你们这样无端地停付了我的租金，是你们单方面违约，你方应付我相当于二个月租金的违约金（视你方的协作情况可以商量），并把5月20号到双方协商解除合同并结清手续为止的租金付给我，同时把房子交给我。但燕成华翰上文说的姓刘的非常蛮横地说“你到法院告我们去吧！租金就是不付给你了”！好一个黑心的中介！从其业务员到其其它组织成员、到所谓的老总一条龙的蛮横、黑心、残暴，与唐山烧烤店打人的恶劣行径有过之而无不及，是有组织的黑社会性质的操作，在网上随便一查，就能查出燕成华翰黑社会性质的劣迹斑斑。在交涉过程中，燕成华翰姓刘的多次说：我们多次打你电话没打通，我们就是要联系你--我们中止合同。但是他始终没打通我电话，而且打不通电话可以发短信、他业务员也可以发微信给我呀！这种恣意妄为、横行霸道、强食弱肉，与土匪、与黑社会有什么区别呢？？在一次次交涉中，每一次在我据理力争后，他都是理屈词穷，但就是蛮横地不付给我该付的租金。我向三河市住建局打电话反映此情况，住建局的职说，燕成华翰这个公司根本没有向住建局申请注册，本来房产中介公司都应到住建局注册的。没有注册、强行霸占他人住房，又拒付租金，有业务员有所谓的总经理，一条龙、有组织欺行霸市，这不是黑社会吗？,1,0,1
9,4824396977671794,用户7785139516,2022-10-14 09:02:15,越来越理智的我 昨天交流了半天唐山烧烤打人事件 终于听到了正常男人的角度男人说他知道这个事情后一晚上没睡着气死了 男人就应该保护女人 然后那个姐姐今天把她朋友带回来了 给我的一些建议 就如图所示 ,0,0,0
9,4824317059137768,涩情女主播m,2022-10-14 03:44:41,我以前以为，结婚慎重就好，擦亮眼睛选对人，后来发现男人永远不会跟女的共情，不管是唐山打人还是生孩子，只要他是个男的“擦亮眼”根本没用，远离男人才是真正的保平安，别去跟男人说生孩子有多可怕，因为他们听不进去，也别去跟女人说生孩子有多可怕，恋爱脑跟繁殖癌没救的。 ,0,2,3
9,4824209991668205,橘子果果果果,2022-10-13 20:39:14,单身狗不配吃火锅吗唐山打人历历在目，草，吃一半不得不打包回去吃 ,0,0,0
9,4824132694311709,非预言家,2022-10-13 15:32:05,与唐山烧烤店打人一样恶劣，河北三河黑中介长期占据他人房产拒付租金“你告我们去吧！租金就是不付给你了”！黑中介燕成华翰房产经纪有限公司（以下简称燕成华翰），未在住建局注册的黑中介，一直占据我房产却粗爆地停付租金。与唐山烧烤店打人一样恶劣、涉黑。2021年4月18日应燕成华翰的邀请我与其签定了《房屋出租代理合同》，将房子出租给燕成华翰，租期2021年4月20日至2023年6月19日（二年），每月租金1300元（按季付）。按合同约定2022年5月20日应付一个季度租金了，但燕成华翰既没事前协商也没有告知，就粗暴地停付了我的租金。到今年7月份我发现，燕成华翰5月20日以来一直没付给我租金（在租给他的过程中我一直没催要过租金），于是发微信给燕成华翰的业务员，其才说你的租金不付了，你找我们刘总吧（我于是要了刘的电话），结果一打电话，刘说：你的租金不付给你了，我们曾经打你电话一直没打通。我说：你根本没打通我电话，那你可以让业务员发微信给我、也可以发短信给我呀，你们这样无端地停付了我的租金，是你们单方面违约，你方应付我相当于二个月租金的违约金（视你方的协作情况可以商量），并把5月20号到双方协商解除合同并结清手续为止的租金付给我，同时把房子交给我。但燕成华翰上文说的姓刘的非常蛮横地说“你到法院告我们去吧！租金就是不付给你了”！好一个黑心的中介！从其业务员到其其它组织成员、到所谓的老总一条龙的蛮横、黑心、残暴，与唐山烧烤店打人的恶劣行径有过之而无不及，是有组织的黑社会性质的操作，在网上随便一查，就能查出燕成华翰黑社会性质的劣迹斑斑。在交涉过程中，燕成华翰姓刘的多次说：我们多次打你电话没打通，我们就是要联系你--我们中止合同。但是他始终没打通我电话，而且打不通电话可以发短信、他业务员也可以发微信给我呀！这种恣意妄为、横行霸道、强食弱肉，与土匪、与黑社会有什么区别呢？？在一次次交涉中，每一次在我据理力争后，他都是理屈词穷，但就是蛮横地不付给我该付的租金。我向三河市住建局打电话反映此情况，住建局的职说，燕成华翰这个公司根本没有向住建局申请注册，本来房产中介公司都应到住建局注册的。没有注册、强行霸占他人住房，又拒付租金，有业务员有所谓的总经理，一条龙、有组织欺行霸市，这不是黑社会吗？,0,4,3
10,4824122846874438,阿马诉说,2022-10-13 14:52:57,针对唐山发生的打人事件…有人提出了建议：一、加强双方的沟通，做到协调解决。抓人判刑无助于问题的解决。二、要考虑打人一方的利益关切。三、加强双方的团结，不要增加裂痕。廊坊警方：人我就抓了，怎么着吧！廊坊法院：人我就判了，怎么着吧！ ,0,0,0
10,4824065157634652,何时圆我保安梦,2022-10-13 11:03:43,好喜欢历史小老头举什么例子都能内涵一下唐山打人男，嘴好损听得我好爽,0,0,5
10,4824028454326101,MMA精彩格斗场,2022-10-13 08:37:52,众多格斗冠军当街被歹徒捅死（3）面对唐山打人事件普通人该怎么自保？#防身##防身术##女性防身##拳击##街头格斗# MMA精彩格斗场的微博视频 ,2,2,4
